Team Name:,1,2,3,4,5,6,7,8,9,10,11,12,13,Total:
NoShows,128.2,74.7,125,66.4,0,0,0,0,0,0,0,0,0,394.3
Struggle Bus,139.5,113.4,170.9,120.8,0,0,0,0,0,0,0,0,0,544.6
Lambeau Leapers,109.4,125.4,102.7,107.2,0,0,0,0,0,0,0,0,0,444.7
Wurst on the Field,179.2,141.7,159.4,185.5,0,0,0,0,0,0,0,0,0,665.8
Luv the Pack,107.7,131.2,110.4,100.1,0,0,0,0,0,0,0,0,0,449.4
Wilshire Wookies,135.9,131.9,132.3,84.4,0,0,0,0,0,0,0,0,0,484.5
TitleTown USA,94.3,142.9,116.1,138.9,0,0,0,0,0,0,0,0,0,492.2
Fitchburg Lionstars,146.1,135,146,96.9,0,0,0,0,0,0,0,0,0,524
WI Large_Line,89.5,116.1,94.8,80.4,0,0,0,0,0,0,0,0,0,380.8
Iowa Happy Trees,112.1,110.5,142.5,148.9,0,0,0,0,0,0,0,0,0,514
